OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
2097,37,119,005917,1,371190059171,Block Group 1,0016608,"Block Group 1, Census Tract 59.17, Mecklenburg County, North Carolina",1492,24,58,13,27,14,49,109,114,110,254,68,293,233,65,39,22,58796,808,39,0.04826733,23829564.8433838,21270.3465179294
2098,37,119,004500,1,371190045001,Block Group 1,0016383,"Block Group 1, Census Tract 45, Mecklenburg County, North Carolina",348,90,34,74,0,8,37,21,8,21,34,0,21,0,0,0,0,19189,214,67,0.31308411,13303656.8894043,17195.7796416427
2099,37,119,005811,2,371190058112,Block Group 2,0016517,"Block Group 2, Census Tract 58.11, Mecklenburg County, North Carolina",705,24,0,51,9,8,14,7,10,36,58,102,127,104,67,20,68,84866,450,0,0,16768953.2709351,20103.3444018454
2100,37,119,004302,1,371190043021,Block Group 1,0016373,"Block Group 1, Census Tract 43.02, Mecklenburg County, North Carolina",344,112,10,23,33,0,0,28,24,11,39,35,14,15,0,0,0,0,195,55,0.28205128,6709968.59954834,11823.5914722417
2101,37,119,003808,1,371190038081,Block Group 1,0016353,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",704,136,41,76,93,70,32,41,13,13,53,37,99,0,0,0,0,25429,375,103,0.27466667,3185037.00738525,7767.34157838207
2102,37,119,004200,1,371190042001,Block Group 1,0016369,"Block Group 1, Census Tract 42, Mecklenburg County, North Carolina",291,60,41,21,16,12,46,18,12,25,12,11,17,0,0,0,0,26563,134,62,0.46268657,7278805.97424316,14404.6918920924
2103,37,119,004302,2,371190043022,Block Group 2,0016374,"Block Group 2, Census Tract 43.02, Mecklenburg County, North Carolina",957,87,124,127,97,46,124,22,63,0,76,61,98,17,0,15,0,29792,559,137,0.2450805,17850241.1490479,24481.4186401797
2104,37,119,006204,3,371190062043,Block Group 3,0016645,"Block Group 3, Census Tract 62.04, Mecklenburg County, North Carolina",1083,13,0,0,24,15,0,16,15,16,29,0,168,52,148,116,471,159145,984,0,0,116343967.603333,51235.6816005351
2105,37,119,003013,2,371190030132,Block Group 2,0016297,"Block Group 2, Census Tract 30.13, Mecklenburg County, North Carolina",999,46,15,0,0,32,0,32,0,17,75,74,76,160,137,140,195,119583,659,22,0.03338392,30019780.4841309,30047.5053738981
2106,37,119,005518,1,371190055181,Block Group 1,0016441,"Block Group 1, Census Tract 55.18, Mecklenburg County, North Carolina",1319,0,15,0,26,7,29,31,95,19,57,156,181,404,156,96,47,101169,986,12,0.01217039,32034415.3278809,26842.5335107098
2107,37,119,005519,2,371190055192,Block Group 2,0016444,"Block Group 2, Census Tract 55.19, Mecklenburg County, North Carolina",1055,93,9,78,29,44,83,107,26,46,65,69,148,65,74,85,34,55234,641,93,0.1450858,48942762.2305908,37117.8663655969
2108,37,119,005523,1,371190055231,Block Group 1,0016453,"Block Group 1, Census Tract 55.23, Mecklenburg County, North Carolina",503,10,12,0,12,41,67,85,65,60,16,49,54,0,19,0,13,41201,122,0,0,61786235.8898315,32495.8727247671
2109,37,119,002702,2,371190027022,Block Group 2,0016261,"Block Group 2, Census Tract 27.02, Mecklenburg County, North Carolina",1056,24,15,0,0,27,43,20,15,12,116,86,89,32,42,69,466,154091,538,0,0,11769983.265564,14972.9160258914
2110,37,119,005909,2,371190059092,Block Group 2,0016593,"Block Group 2, Census Tract 59.09, Mecklenburg County, North Carolina",1330,41,35,58,67,48,0,15,62,63,50,262,265,143,65,67,89,73875,734,127,0.17302452,33351811.4500732,23851.0274052403
2111,37,119,005401,3,371190054013,Block Group 3,0016413,"Block Group 3, Census Tract 54.01, Mecklenburg County, North Carolina",569,48,94,0,89,64,74,0,10,11,70,51,43,15,0,0,0,28125,404,36,0.08910891,28103291.5485229,31196.790428116
2112,37,119,001400,1,371190014001,Block Group 1,0016160,"Block Group 1, Census Tract 14, Mecklenburg County, North Carolina",717,0,30,23,24,22,21,7,48,16,77,142,103,59,35,58,52,71385,312,65,0.20833333,11416328.3748169,16279.5862662012
2113,37,119,001701,1,371190017011,Block Group 1,0016186,"Block Group 1, Census Tract 17.01, Mecklenburg County, North Carolina",692,28,22,41,50,47,39,69,34,20,53,38,74,95,18,35,29,49231,314,46,0.14649682,11972337.3461304,16281.3618492069
2114,37,119,005517,1,371190055171,Block Group 1,0016439,"Block Group 1, Census Tract 55.17, Mecklenburg County, North Carolina",1265,36,11,35,19,25,7,87,57,44,84,133,174,220,85,104,144,88459,822,7,0.00851582,20450915.0247803,21224.1631263613
