OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2714,37,119,005401,3,371190054013,Block Group 3,0016413,"Block Group 3, Census Tract 54.01, Mecklenburg County, North Carolina",433,344,24,33,0,44,101,0.23325635,28103291.5485229,31196.790428116
2715,37,119,001915,2,371190019152,Block Group 2,0016210,"Block Group 2, Census Tract 19.15, Mecklenburg County, North Carolina",1071,839,302,59,22,0,383,0.35760971,12675944.0976562,15685.1671037047
2716,37,119,005823,3,371190058233,Block Group 3,0016529,"Block Group 3, Census Tract 58.23, Mecklenburg County, North Carolina",935,848,100,12,16,9,137,0.14652406,17691299.5135498,18656.3532873465
2717,37,119,003006,2,371190030062,Block Group 2,0016280,"Block Group 2, Census Tract 30.06, Mecklenburg County, North Carolina",1494,1301,134,58,34,34,260,0.17402945,15341029.80896,22363.6508742384
2718,37,119,001200,3,371190012003,Block Group 3,0016156,"Block Group 3, Census Tract 12, Mecklenburg County, North Carolina",1011,925,128,0,14,8,150,0.14836795,22797516.8279419,22242.7345222327
2719,37,119,005829,1,371190058291,Block Group 1,0016540,"Block Group 1, Census Tract 58.29, Mecklenburg County, North Carolina",557,447,54,54,29,0,137,0.2459605,20441882.6065674,24247.798905541
2720,37,119,005510,2,371190055102,Block Group 2,0016424,"Block Group 2, Census Tract 55.10, Mecklenburg County, North Carolina",1863,1616,412,0,0,41,453,0.2431562,43670281.3979492,28622.2687586766
2721,37,119,006105,1,371190061051,Block Group 1,0016632,"Block Group 1, Census Tract 61.05, Mecklenburg County, North Carolina",1571,1399,244,11,12,27,294,0.18714195,82469652.7406006,43114.0378784524
2722,37,119,005823,4,371190058234,Block Group 4,0016530,"Block Group 4, Census Tract 58.23, Mecklenburg County, North Carolina",1609,1368,316,67,16,0,399,0.24798011,37617459.1430054,28545.4885944565
2723,37,119,006209,1,371190062091,Block Group 1,0016648,"Block Group 1, Census Tract 62.09, Mecklenburg County, North Carolina",343,327,32,0,0,0,32,0.09329446,12257484.4243164,17551.8226831802
